sentence,BookRestaurant,GetWeather,PlayMusic,RateBook
book The Middle East restaurant in IN for noon,1,0,0,0
Book a table at T-Rex distant from Halsey St.,1,0,0,0
I'd like to eat at a taverna that serves chili con carne for a party of 10,1,0,0,0
I have a party of four in Japan and need a reservation at Rimsky-Korsakoffee House on Aug. the 3rd.,1,0,0,0
"Please make a restaurant reservation for somewhere in Mondovi, Connecticut.",1,0,0,0
book a spot far from Åland,1,0,0,0
I'd like to eat at the best restaurant in Coalton,1,0,0,0
book a taverna that serves vichyssoise within walking distance in OH,1,0,0,0
I want to book a popular tyrolean steakhouse in Madison Park WA in 1 hour nine minutes and one second,1,0,0,0
Find a table for 8 somewhere in Bonaire in 345 days,1,0,0,0
Book a restaurant with parking facility for 3.,1,0,0,0
"please book a room in Spaghetti Warehouse for catalina, delores and brandie mendoza at 12 AM",1,0,0,0
"I need a table for 1 at a highly rated restaurant next autumn in Emmons, RI",1,0,0,0
book a spot in 1 second that is neighboring robin's hotel,1,0,0,0
patty and I need a table booked at a highly rated restaurant in Sandstone.,1,0,0,0
Make a reservation for four at a pub in Sugarville.,1,0,0,0
book a table for a Macedonia restaurant,1,0,0,0
I'd like to go to a halal restaurant in twenty minutes around the District Of Columbia and book seats for four,1,0,0,0
Book a table for 10 people at Dunbrody Country House Hotel in Strandburg.,1,0,0,0
Book a table in a Haines Borough restaurant for nine that is within walking distance.,1,0,0,0
book midday at a faraway cuban place for five at a top-rated bakery in Grainola,1,0,0,0
Book a bakery with smoking room for nine in Niger.,1,0,0,0
Book a restaurant for ten in OK.,1,0,0,0
Book the Gus Stevens Seafood Restaurant & Buccaneer Lounge in Papua New Guinea for one person.,1,0,0,0
book a Boon Brick Store for my grandkid and I at Evans Mills,1,0,0,0
Book a pub with fisn'n chips in Timberville.,1,0,0,0
Restaurant near in town uses in two years,1,0,0,0
Book seating at a restaurant in Topton,1,0,0,0
I need a table for four at a pub in Heard Island and McDonald Islands,1,0,0,0
I want to go to Antigua and Barbuda and eat at a table for 4.,1,0,0,0
I want to eat at a scandinavian restaurant that is highly rated in Bonita Texas,1,0,0,0
I want to eat for two at a brasserie in Gwynedd Valley TN with pickled cucumber in one second,1,0,0,0
"book on feb. the twenty-sixth, 2026 in Tracyton for two at a cafe",1,0,0,0
I'd like to eat in Iran with a party of 9 on sep. the 12th,1,0,0,0
Book The Oriel in Allison for a party of four.,1,0,0,0
book a table on 6/14/2035 at a bakery within walking distance of Equatorial Guinea that serves paella,1,0,0,0
book me top-rated restaurant for 9 members for midnight at Fair Bluff RI,1,0,0,0
book a Ukraine pub serves mineiro,1,0,0,0
Book a restaurant in Mauritania for 1 person.,1,0,0,0
me and my niece want to eat somewhere close by Hopatcong,1,0,0,0
Can you book me a table for 9 in DE?,1,0,0,0
I need a reservation for a pizzeria nearby Vigus,1,0,0,0
I want to book a restaurant neighboring Livonia Av,1,0,0,0
Book me a table for seven people at a bar with a pool.,1,0,0,0
"Book a spot for kelli, jean and I at a pub at elevenses",1,0,0,0
book a gastropub serves waffle for 8,1,0,0,0
I need a reservation for 7 people at a bar in Chile that serves bio.,1,0,0,0
I need to book a table at a food court in NH that serves smelt,1,0,0,0
Book a restaurant in MP at 3 pm with pigs in blankets,1,0,0,0
Book an australian restaurant in Jacksboro three weeks from now for my step father and I.,1,0,0,0
"Please book reservations at a restaurant that serves empanada, party for three with betty and dolly.",1,0,0,0
I need a table at The Ledbury at 18 o'clock,1,0,0,0
At four pm. I need a table for 8 at a restaurant in Guernsey that serves salade.,1,0,0,0
"book a table 1 year from now for corinne, tisha and I at a restaurant in Guernsey that is top-rated",1,0,0,0
I'm looking to reserve a table at a pasta restaurant in Serbia.,1,0,0,0
Book me a reservation for Ad Hoc in Brazil for a party of 7,1,0,0,0
Lets go eat in Friday 43 days from now,1,0,0,0
I need a reservation for a brasserie that serves ankimo in PW,1,0,0,0
Please book reservations for 3 people at a restaurant in Alderwood Manor,1,0,0,0
book a table in MT for 3 for now at a pub that serves south indian,1,0,0,0
Book a table in Belhaven for a party of seven at the Great House at Sonning,1,0,0,0
I want to book a restaurant near Wyoming for 5 people.,1,0,0,0
Get me a table at Eighth Step Coffee House in Germania for 7,1,0,0,0
Locate the best pub in Apache Junction,1,0,0,0
"book a restaurant in McMurray on august seventeenth for marjorie vasquez, edith and martina",1,0,0,0
Book a table for mindy and angelita at a restaurant which serves café liégeois,1,0,0,0
"I need a table for ten on april the eighteenth, 2030",1,0,0,0
book a popular restaurant of thai cuisine,1,0,0,0
I want to book a pastelaria cafe in Alabama for me and my great grandfather.,1,0,0,0
